Class   Instance  SPT       Greedy    LPT       IdleFilling
============================================================
1       1         148       145       155       145       
1       2         154       144       153       144       
1       3         162       162       162       162       
1       4         187       180       225       180       
1       5         145       123       141       123       
1       6         144       137       159       137       
1       7         162       144       191       144       
1       8         174       173       173       173       
1       9         175       160       201       160       
1       10        139       129       138       126       
2       1         304       262       298       258       
2       2         386       318       403       316       
2       3         338       276       354       276       
2       4         407       325       400       317       
2       5         327       277       324       274       
2       6         353       276       366       273       
2       7         296       270       290       268       
2       8         312       275       309       275       
2       9         319       305       336       305       
2       10        366       305       382       305       
3       1         836       777       830       772       
3       2         797       740       840       740       
3       3         599       558       593       552       
3       4         1033      980       1029      979       
3       5         721       717       718       717       
3       6         1051      955       1046      942       
3       7         803       619       796       619       
3       8         809       620       806       612       
3       9         800       743       798       743       
3       10        929       798       924       788       
4       1         180       162       195       162       
4       2         203       192       202       192       
4       3         190       163       188       163       
4       4         160       159       159       159       
4       5         185       184       184       184       
4       6         162       144       161       144       
4       7         163       151       161       151       
4       8         225       176       239       176       
4       9         146       139       146       139       
4       10        170       152       176       152       
5       1         335       330       334       330       
5       2         360       287       358       287       
5       3         346       332       360       332       
5       4         292       292       336       292       
5       5         301       282       298       282       
5       6         327       309       341       309       
5       7         340       281       367       281       
5       8         308       288       321       288       
5       9         355       281       353       281       
5       10        326       298       338       298       
6       1         743       740       740       740       
6       2         745       690       742       690       
6       3         831       673       827       673       
6       4         781       718       779       718       
6       5         789       708       784       708       
6       6         885       689       881       689       
6       7         801       661       799       661       
6       8         847       822       844       822       
6       9         796       660       825       660       
6       10        873       714       902       714       
1       1         156       143       160       143       
1       2         157       145       158       145       
1       3         163       150       169       150       
1       4         136       130       137       130       
1       5         154       152       149       152       
1       6         141       141       152       141       
1       7         140       133       139       133       
1       8         157       142       144       141       
1       9         138       136       141       136       
1       10        142       134       142       134       
2       1         272       270       269       270       
2       2         267       261       277       261       
2       3         263       253       296       253       
2       4         328       296       326       294       
2       5         270       268       279       268       
2       6         249       233       243       233       
2       7         291       285       300       285       
2       8         293       267       282       267       
2       9         304       282       313       281       
2       10        336       307       338       307       
3       1         766       734       758       734       
3       2         703       688       695       688       
3       3         684       660       714       660       
3       4         794       784       803       784       
3       5         713       664       703       664       
3       6         627       604       629       604       
3       7         710       680       710       680       
3       8         644       585       644       584       
3       9         702       671       680       671       
3       10        668       647       654       647       
4       1         159       146       162       146       
4       2         150       150       162       150       
4       3         155       155       153       155       
4       4         151       150       152       150       
4       5         164       153       168       153       
4       6         143       143       164       143       
4       7         159       152       161       152       
4       8         169       163       164       163       
4       9         181       161       172       161       
4       10        154       149       150       149       
5       1         263       263       268       263       
5       2         284       276       273       276       
5       3         306       284       306       283       
5       4         278       265       285       265       
5       5         308       286       303       286       
5       6         278       278       302       278       
5       7         280       269       282       269       
5       8         281       271       286       271       
5       9         293       283       317       283       
5       10        296       284       303       284       
6       1         664       641       693       641       
6       2         664       644       668       644       
6       3         687       661       710       661       
6       4         710       641       736       641       
6       5         662       643       667       643       
6       6         769       692       737       692       
6       7         741       671       765       671       
6       8         698       640       671       640       
6       9         715       685       732       685       
6       10        681       662       682       662       
1       1         141       141       149       141       
1       2         156       158       179       158       
1       3         119       118       119       118       
1       4         153       142       157       142       
1       5         147       141       160       141       
1       6         128       127       129       127       
1       7         137       129       133       129       
1       8         150       158       159       158       
1       9         153       147       158       147       
1       10        144       144       159       144       
2       1         325       297       312       297       
2       2         278       264       304       264       
2       3         276       265       264       265       
2       4         274       272       287       272       
2       5         280       277       271       277       
2       6         344       315       373       315       
2       7         281       274       295       274       
2       8         279       276       286       276       
2       9         294       282       278       282       
2       10        262       261       263       261       
3       1         581       572       574       570       
3       2         798       758       827       758       
3       3         789       746       756       746       
3       4         727       726       736       726       
3       5         668       655       693       655       
3       6         658       638       652       638       
3       7         684       683       684       683       
3       8         686       665       673       665       
3       9         652       626       643       626       
3       10        699       688       688       688       
4       1         161       161       164       161       
4       2         158       152       169       152       
4       3         148       148       157       148       
4       4         166       160       184       160       
4       5         156       155       161       155       
4       6         161       150       166       150       
4       7         166       149       165       149       
4       8         147       152       164       152       
4       9         145       145       148       145       
4       10        156       151       161       151       
5       1         281       281       289       281       
5       2         281       271       295       271       
5       3         296       288       285       288       
5       4         273       273       276       273       
5       5         286       286       294       286       
5       6         281       281       290       281       
5       7         284       277       276       277       
5       8         289       271       290       271       
5       9         286       279       292       279       
5       10        299       289       301       289       
6       1         701       657       675       657       
6       2         702       657       681       657       
6       3         688       639       686       639       
6       4         673       644       667       644       
6       5         654       650       650       650       
6       6         659       658       684       658       
6       7         651       651       698       651       
6       8         708       660       701       660       
6       9         684       661       684       661       
6       10        678       653       651       653       
1       1         125       125       129       125       
1       2         142       142       140       142       
1       3         154       155       153       155       
1       4         148       148       156       148       
1       5         141       140       137       140       
1       6         144       144       143       144       
1       7         141       139       138       139       
1       8         130       126       135       126       
1       9         141       141       144       141       
1       10        134       128       132       128       
2       1         298       285       302       285       
2       2         236       233       231       233       
2       3         288       285       283       285       
2       4         285       294       295       293       
2       5         291       291       294       290       
2       6         297       294       293       294       
2       7         242       236       258       236       
2       8         258       258       264       258       
2       9         304       293       314       293       
2       10        289       286       283       286       
3       1         634       631       624       631       
3       2         598       593       610       593       
3       3         615       615       622       615       
3       4         723       723       735       723       
3       5         709       695       682       695       
3       6         682       682       692       681       
3       7         675       623       666       623       
3       8         601       599       592       599       
3       9         584       530       573       530       
3       10        616       612       622       612       
4       1         155       155       170       155       
4       2         152       152       164       152       
4       3         144       144       156       144       
4       4         151       151       155       151       
4       5         162       162       167       162       
4       6         147       147       148       147       
4       7         158       154       165       154       
4       8         146       146       151       146       
4       9         155       149       169       149       
4       10        160       156       160       156       
5       1         287       279       294       279       
5       2         278       278       285       278       
5       3         288       281       300       281       
5       4         295       295       318       295       
5       5         299       287       299       287       
5       6         287       279       298       279       
5       7         292       293       303       293       
5       8         283       275       293       275       
5       9         284       284       292       284       
5       10        283       274       273       274       
6       1         646       647       642       646       
6       2         704       681       734       681       
6       3         630       630       679       630       
6       4         663       643       660       643       
6       5         645       646       668       646       
6       6         699       657       699       657       
6       7         692       659       743       659       
6       8         690       671       667       671       
6       9         682       658       680       658       
6       10        674       654       664       654       
1       1         120       119       124       119       
1       2         128       127       126       127       
1       3         160       156       167       156       
1       4         142       139       145       139       
1       5         128       121       125       121       
1       6         150       153       159       153       
1       7         133       133       133       133       
1       8         151       151       156       151       
1       9         144       144       147       144       
1       10        143       140       142       140       
2       1         274       271       268       271       
2       2         222       221       217       221       
2       3         234       233       235       233       
2       4         246       237       251       237       
2       5         232       232       241       232       
2       6         298       288       305       288       
2       7         254       254       250       254       
2       8         283       278       278       278       
2       9         306       293       299       293       
2       10        264       264       269       264       
3       1         670       657       680       657       
3       2         672       656       681       656       
3       3         646       646       630       646       
3       4         650       628       621       628       
3       5         704       704       691       704       
3       6         731       718       764       718       
3       7         633       633       622       633       
3       8         655       641       647       641       
3       9         755       755       746       755       
3       10        748       716       733       716       
4       1         150       150       149       150       
4       2         161       155       163       155       
4       3         154       150       154       150       
4       4         147       147       152       147       
4       5         154       154       153       154       
4       6         153       147       151       147       
4       7         157       154       159       154       
4       8         152       152       161       152       
4       9         148       147       154       147       
4       10        155       155       160       155       
5       1         273       274       271       274       
5       2         288       288       286       288       
5       3         271       271       280       271       
5       4         288       280       298       280       
5       5         288       282       309       282       
5       6         270       270       268       270       
5       7         286       280       278       280       
5       8         277       277       289       277       
5       9         275       274       281       274       
5       10        277       277       276       277       
6       1         660       658       683       658       
6       2         642       642       659       642       
6       3         664       664       662       664       
6       4         653       653       667       653       
6       5         713       685       714       685       
