Class   Instance  SPT       Greedy    LPT       IdleFilling
============================================================
5       1         1167      1128      1161      1128      
5       2         1150      1100      1155      1100      
5       3         1152      1101      1193      1101      
5       4         1187      1124      1213      1124      
5       5         1138      1104      1184      1104      
5       6         1123      1086      1166      1086      
5       7         1126      1100      1134      1100      
5       8         1131      1089      1144      1089      
5       9         1136      1095      1155      1095      
5       10        1198      1132      1216      1132      
6       1         2741      2611      2655      2611      
6       2         2862      2615      2829      2615      
6       3         2651      2555      2673      2555      
6       4         2658      2607      2664      2607      
6       5         2673      2599      2712      2599      
6       6         2755      2648      2733      2648      
6       7         2699      2592      2664      2592      
6       8         2746      2655      2747      2655      
6       9         2733      2615      2782      2615      
6       10        2708      2610      2728      2610      
1       1         530       522       569       522       
1       2         556       546       606       546       
1       3         556       550       605       550       
1       4         571       564       607       564       
1       5         551       543       582       543       
1       6         553       543       562       543       
1       7         549       536       566       536       
1       8         575       563       603       563       
1       9         568       562       597       562       
1       10        530       528       563       528       
2       1         1086      1043      1115      1043      
2       2         1103      1068      1114      1068      
2       3         1023      1014      1040      1014      
2       4         1118      1039      1122      1039      
2       5         1041      1011      1039      1011      
2       6         1036      1005      1049      1005      
2       7         1096      1061      1115      1061      
2       8         1125      1073      1126      1073      
2       9         1149      1130      1211      1130      
2       10        1101      1035      1136      1035      
3       1         2495      2436      2506      2436      
3       2         2260      2202      2274      2202      
3       3         2652      2573      2693      2573      
3       4         2659      2603      2690      2603      
3       5         2700      2545      2687      2545      
3       6         2785      2763      2872      2763      
3       7         2609      2536      2608      2536      
3       8         2591      2529      2621      2529      
3       9         2478      2420      2436      2420      
3       10        2583      2520      2619      2520      
4       1         623       618       647       618       
4       2         605       602       638       602       
4       3         598       585       609       585       
4       4         600       596       644       596       
4       5         599       587       619       587       
4       6         598       595       619       595       
4       7         609       607       626       607       
4       8         598       594       610       594       
4       9         615       607       620       607       
4       10        634       607       633       607       
5       1         1158      1116      1173      1116      
5       2         1132      1106      1130      1106      
5       3         1109      1106      1142      1106      
5       4         1096      1088      1092      1088      
5       5         1127      1113      1128      1113      
5       6         1099      1099      1106      1099      
5       7         1150      1097      1178      1097      
5       8         1124      1107      1111      1107      
5       9         1126      1106      1143      1106      
5       10        1123      1101      1136      1101      
6       1         2653      2604      2652      2604      
6       2         2660      2604      2654      2604      
6       3         2673      2622      2689      2622      
6       4         2751      2607      2815      2607      
6       5         2586      2558      2648      2558      
6       6         2606      2605      2621      2605      
6       7         2635      2594      2696      2594      
6       8         2617      2599      2693      2599      
6       9         2683      2607      2737      2607      
6       10        2631      2608      2663      2608      
1       1         566       552       560       552       
1       2         537       527       553       527       
1       3         550       537       566       537       
