trial,makespan,execution_time,initial_temp,cooling_rate,max_iterations,min_temp
0,1538,80.69729948043823,500,0.9,100,0.1
1,1530,81.28581523895264,500,0.9,100,0.1
2,1551,85.12942171096802,500,0.9,100,0.1
0,1530,80.33184051513672,500,0.9,100,1.0
1,1536,82.4141161441803,500,0.9,100,1.0
2,1530,84.0695538520813,500,0.9,100,1.0
0,1540,82.49534797668457,500,0.9,100,5.0
1,1530,84.80194902420044,500,0.9,100,5.0
2,1530,116.80099129676819,500,0.9,100,5.0
0,1530,115.69213509559631,500,0.9,300,0.1
1,1530,115.90064001083374,500,0.9,300,0.1
2,1556,116.76476097106934,500,0.9,300,0.1
0,1530,115.5548403263092,500,0.9,300,1.0
1,1541,116.06699681282043,500,0.9,300,1.0
2,1530,117.4157087802887,500,0.9,300,1.0
0,1556,116.99857378005981,500,0.9,300,5.0
1,1530,105.62382912635803,500,0.9,300,5.0
2,1530,105.39455604553223,500,0.9,300,5.0
0,1530,105.15390062332153,500,0.9,500,0.1
1,1548,105.95632910728455,500,0.9,500,0.1
2,1530,105.74334406852722,500,0.9,500,0.1
0,1530,106.33537197113037,500,0.9,500,1.0
1,1547,107.81060290336609,500,0.9,500,1.0
2,1530,109.36562967300415,500,0.9,500,1.0
0,1530,106.46177101135254,500,0.9,500,5.0
1,1530,109.0016930103302,500,0.9,500,5.0
2,1530,107.35460662841797,500,0.9,500,5.0
0,1530,105.8991711139679,500,0.9,700,0.1
1,1530,107.57763266563416,500,0.9,700,0.1
2,1530,106.8861997127533,500,0.9,700,0.1
0,1530,108.67717242240906,500,0.9,700,1.0
1,1530,108.14739513397217,500,0.9,700,1.0
2,1530,105.12380290031433,500,0.9,700,1.0
0,1547,105.48447561264038,500,0.9,700,5.0
1,1556,105.18461441993713,500,0.9,700,5.0
2,1530,104.54809427261353,500,0.9,700,5.0
0,1556,105.61596274375916,500,0.95,100,0.1
1,1533,105.22529435157776,500,0.95,100,0.1
2,1530,105.6913595199585,500,0.95,100,0.1
0,1530,104.4621856212616,500,0.95,100,1.0
1,1530,104.29212927818298,500,0.95,100,1.0
2,1556,105.75580191612244,500,0.95,100,1.0
0,1530,105.7704484462738,500,0.95,100,5.0
1,1530,108.12254214286804,500,0.95,100,5.0
2,1530,107.24422121047974,500,0.95,100,5.0
0,1556,107.1567280292511,500,0.95,300,0.1
1,1530,107.96250224113464,500,0.95,300,0.1
2,1530,108.22164487838745,500,0.95,300,0.1
0,1530,107.19945955276489,500,0.95,300,1.0
1,1530,105.93377828598022,500,0.95,300,1.0
2,1530,105.5573992729187,500,0.95,300,1.0
0,1530,106.88589000701904,500,0.95,300,5.0
1,1530,106.62442183494568,500,0.95,300,5.0
2,1530,105.06201553344727,500,0.95,300,5.0
0,1530,107.6534059047699,500,0.95,500,0.1
1,1530,107.6969153881073,500,0.95,500,0.1
2,1530,104.79844188690186,500,0.95,500,0.1
0,1530,105.57451033592224,500,0.95,500,1.0
1,1556,106.47857213020325,500,0.95,500,1.0
2,1530,104.3254599571228,500,0.95,500,1.0
0,1530,106.0874891281128,500,0.95,500,5.0
1,1530,108.10051465034485,500,0.95,500,5.0
2,1556,106.22941040992737,500,0.95,500,5.0
0,1530,106.09550380706787,500,0.95,700,0.1
1,1530,107.6472065448761,500,0.95,700,0.1
2,1530,107.12354969978333,500,0.95,700,0.1
0,1530,106.56752157211304,500,0.95,700,1.0
1,1530,107.24041795730591,500,0.95,700,1.0
2,1544,106.84598755836487,500,0.95,700,1.0
0,1530,108.493173122406,500,0.95,700,5.0
1,1530,107.44350409507751,500,0.95,700,5.0
2,1530,107.32460451126099,500,0.95,700,5.0
0,1530,107.74267983436584,500,0.97,100,0.1
1,1556,107.36942839622498,500,0.97,100,0.1
2,1530,108.34257245063782,500,0.97,100,0.1
0,1530,108.93505239486694,500,0.97,100,1.0
1,1554,108.43026351928711,500,0.97,100,1.0
2,1530,110.61146545410156,500,0.97,100,1.0
0,1530,110.06085872650146,500,0.97,100,5.0
1,1552,108.01319313049316,500,0.97,100,5.0
2,1533,105.87137603759766,500,0.97,100,5.0
0,1530,107.44047260284424,500,0.97,300,0.1
1,1530,106.77832555770874,500,0.97,300,0.1
2,1530,107.59955716133118,500,0.97,300,0.1
0,1530,108.63519930839539,500,0.97,300,1.0
1,1530,108.97268748283386,500,0.97,300,1.0
2,1530,108.13205409049988,500,0.97,300,1.0
0,1530,110.05382823944092,500,0.97,300,5.0
1,1556,105.26678895950317,500,0.97,300,5.0
2,1530,107.2054796218872,500,0.97,300,5.0
0,1530,105.84167742729187,500,0.97,500,0.1
1,1542,105.9990336894989,500,0.97,500,0.1
2,1530,105.66933488845825,500,0.97,500,0.1
0,1556,107.10207080841064,500,0.97,500,1.0
1,1556,104.87368297576904,500,0.97,500,1.0
2,1530,105.88618493080139,500,0.97,500,1.0
0,1530,104.91017723083496,500,0.97,500,5.0
1,1530,105.58199882507324,500,0.97,500,5.0
2,1530,104.25453853607178,500,0.97,500,5.0
0,1533,105.30933165550232,500,0.97,700,0.1
1,1546,105.02715826034546,500,0.97,700,0.1
2,1544,105.43678665161133,500,0.97,700,0.1
0,1530,106.77058172225952,500,0.97,700,1.0
1,1554,105.37739658355713,500,0.97,700,1.0
2,1530,104.41799235343933,500,0.97,700,1.0
0,1530,105.40868258476257,500,0.97,700,5.0
1,1530,105.48436713218689,500,0.97,700,5.0
2,1544,105.3532350063324,500,0.97,700,5.0
0,1530,106.03250765800476,500,0.99,100,0.1
1,1533,104.99423336982727,500,0.99,100,0.1
2,1530,106.22807931900024,500,0.99,100,0.1
0,1556,105.59277677536011,500,0.99,100,1.0
1,1556,105.35266971588135,500,0.99,100,1.0
2,1530,104.65268158912659,500,0.99,100,1.0
0,1536,106.07042217254639,500,0.99,100,5.0
1,1530,104.93883490562439,500,0.99,100,5.0
2,1530,104.62715101242065,500,0.99,100,5.0
0,1556,106.2920274734497,500,0.99,300,0.1
1,1549,105.49961924552917,500,0.99,300,0.1
2,1530,106.78903532028198,500,0.99,300,0.1
0,1530,103.97140836715698,500,0.99,300,1.0
1,1530,105.12682247161865,500,0.99,300,1.0
2,1530,105.0806872844696,500,0.99,300,1.0
0,1530,106.62648463249207,500,0.99,300,5.0
1,1530,105.721853017807,500,0.99,300,5.0
2,1530,106.22907018661499,500,0.99,300,5.0
0,1530,107.81762862205505,500,0.99,500,0.1
1,1556,106.19131565093994,500,0.99,500,0.1
2,1556,104.45855784416199,500,0.99,500,0.1
0,1545,105.80432343482971,500,0.99,500,1.0
1,1530,106.12944459915161,500,0.99,500,1.0
2,1556,106.16524648666382,500,0.99,500,1.0
0,1556,105.14566230773926,500,0.99,500,5.0
1,1548,106.33544659614563,500,0.99,500,5.0
2,1531,106.38308024406433,500,0.99,500,5.0
0,1530,104.99076342582703,500,0.99,700,0.1
1,1530,104.47111082077026,500,0.99,700,0.1
2,1530,104.92403650283813,500,0.99,700,0.1
0,1530,104.90754628181458,500,0.99,700,1.0
1,1530,105.3764283657074,500,0.99,700,1.0
2,1530,107.63131403923035,500,0.99,700,1.0
0,1530,105.46523356437683,500,0.99,700,5.0
1,1538,107.10258722305298,500,0.99,700,5.0
2,1530,107.28021359443665,500,0.99,700,5.0
0,1556,105.36435270309448,1000,0.9,100,0.1
1,1530,104.32330775260925,1000,0.9,100,0.1
2,1530,106.61225175857544,1000,0.9,100,0.1
0,1530,106.53122544288635,1000,0.9,100,1.0
1,1533,106.40321612358093,1000,0.9,100,1.0
2,1556,106.09046792984009,1000,0.9,100,1.0
0,1556,107.2395510673523,1000,0.9,100,5.0
1,1530,106.51698803901672,1000,0.9,100,5.0
2,1544,105.04141879081726,1000,0.9,100,5.0
0,1530,105.56997013092041,1000,0.9,300,0.1
1,1556,103.60247087478638,1000,0.9,300,0.1
2,1530,104.26858806610107,1000,0.9,300,0.1
0,1530,105.20399355888367,1000,0.9,300,1.0
1,1530,105.37229824066162,1000,0.9,300,1.0
2,1530,104.98032855987549,1000,0.9,300,1.0
0,1530,107.53664803504944,1000,0.9,300,5.0
1,1530,104.64564990997314,1000,0.9,300,5.0
2,1530,109.4136414527893,1000,0.9,300,5.0
0,1550,108.1059181690216,1000,0.9,500,0.1
1,1530,108.89548015594482,1000,0.9,500,0.1
2,1530,109.26699686050415,1000,0.9,500,0.1
0,1556,109.5728862285614,1000,0.9,500,1.0
1,1530,110.06019043922424,1000,0.9,500,1.0
2,1530,109.4188597202301,1000,0.9,500,1.0
0,1556,111.75723147392273,1000,0.9,500,5.0
1,1530,111.36006426811218,1000,0.9,500,5.0
2,1530,111.77198719978333,1000,0.9,500,5.0
0,1530,112.76326704025269,1000,0.9,700,0.1
1,1530,111.76151919364929,1000,0.9,700,0.1
2,1530,114.44292640686035,1000,0.9,700,0.1
0,1556,115.86605286598206,1000,0.9,700,1.0
1,1530,116.84052729606628,1000,0.9,700,1.0
2,1530,117.95083475112915,1000,0.9,700,1.0
0,1530,120.12557458877563,1000,0.9,700,5.0
1,1541,119.29613065719604,1000,0.9,700,5.0
2,1547,119.03129625320435,1000,0.9,700,5.0
0,1541,117.38786363601685,1000,0.95,100,0.1
1,1556,110.26694798469543,1000,0.95,100,0.1
2,1556,105.65610885620117,1000,0.95,100,0.1
0,1535,104.82989621162415,1000,0.95,100,1.0
1,1530,77.20202589035034,1000,0.95,100,1.0
2,1531,79.14044094085693,1000,0.95,100,1.0
0,1530,78.70727467536926,1000,0.95,100,5.0
1,1530,79.59898614883423,1000,0.95,100,5.0
2,1530,81.61098194122314,1000,0.95,100,5.0
0,1530,88.62372136116028,1000,0.95,300,0.1
1,1530,93.51059532165527,1000,0.95,300,0.1
2,1530,96.68415689468384,1000,0.95,300,0.1
0,1530,121.1622269153595,1000,0.95,300,1.0
1,1535,121.8731107711792,1000,0.95,300,1.0
2,1530,122.72066736221313,1000,0.95,300,1.0
0,1547,123.72334408760071,1000,0.95,300,5.0
1,1530,122.54079294204712,1000,0.95,300,5.0
2,1535,122.90623617172241,1000,0.95,300,5.0
0,1530,122.86034655570984,1000,0.95,500,0.1
1,1556,126.28849291801453,1000,0.95,500,0.1
2,1530,122.97324275970459,1000,0.95,500,0.1
0,1530,125.53392052650452,1000,0.95,500,1.0
1,1530,125.03173446655273,1000,0.95,500,1.0
2,1530,123.96464538574219,1000,0.95,500,1.0
0,1539,122.79485821723938,1000,0.95,500,5.0
1,1530,125.46071124076843,1000,0.95,500,5.0
2,1530,124.35942387580872,1000,0.95,500,5.0
0,1530,125.04385232925415,1000,0.95,700,0.1
1,1541,123.3003602027893,1000,0.95,700,0.1
2,1530,131.6105194091797,1000,0.95,700,0.1
0,1530,129.86396598815918,1000,0.95,700,1.0
1,1530,134.03503847122192,1000,0.95,700,1.0
2,1530,131.14927864074707,1000,0.95,700,1.0
0,1530,136.01667284965515,1000,0.95,700,5.0
1,1530,137.89118885993958,1000,0.95,700,5.0
2,1530,138.20582365989685,1000,0.95,700,5.0
0,1530,135.93692708015442,1000,0.97,100,0.1
1,1538,130.0975501537323,1000,0.97,100,0.1
2,1530,129.7663381099701,1000,0.97,100,0.1
0,1530,127.63730454444885,1000,0.97,100,1.0
1,1556,126.83195853233337,1000,0.97,100,1.0
2,1530,124.74823212623596,1000,0.97,100,1.0
0,1530,124.27111315727234,1000,0.97,100,5.0
1,1530,125.67548322677612,1000,0.97,100,5.0
2,1530,120.07605195045471,1000,0.97,100,5.0
0,1530,121.7459876537323,1000,0.97,300,0.1
1,1530,120.1578528881073,1000,0.97,300,0.1
2,1530,122.95869183540344,1000,0.97,300,0.1
0,1544,121.06762838363647,1000,0.97,300,1.0
1,1530,122.37162804603577,1000,0.97,300,1.0
2,1530,124.37320613861084,1000,0.97,300,1.0
0,1530,121.60550951957703,1000,0.97,300,5.0
1,1549,120.28590822219849,1000,0.97,300,5.0
2,1548,120.63486742973328,1000,0.97,300,5.0
0,1530,122.3302583694458,1000,0.97,500,0.1
1,1530,122.36504626274109,1000,0.97,500,0.1
2,1530,123.87742304801941,1000,0.97,500,0.1
0,1530,122.23980927467346,1000,0.97,500,1.0
1,1530,115.3419246673584,1000,0.97,500,1.0
2,1530,109.92400908470154,1000,0.97,500,1.0
0,1530,77.46207451820374,1000,0.97,500,5.0
1,1530,64.10596871376038,1000,0.97,500,5.0
2,1530,63.11810779571533,1000,0.97,500,5.0
0,1530,58.975709438323975,1000,0.97,700,0.1
1,1530,57.19645285606384,1000,0.97,700,0.1
2,1530,50.05632138252258,1000,0.97,700,0.1
0,1530,49.98399543762207,1000,0.97,700,1.0
1,1530,53.274561166763306,1000,0.97,700,1.0
2,1530,76.90042734146118,1000,0.97,700,1.0
0,1554,73.33641576766968,1000,0.97,700,5.0
1,1530,72.0089316368103,1000,0.97,700,5.0
2,1530,70.38840889930725,1000,0.97,700,5.0
0,1544,70.6090772151947,1000,0.99,100,0.1
1,1530,67.16434669494629,1000,0.99,100,0.1
2,1530,65.61898374557495,1000,0.99,100,0.1
0,1530,60.75752067565918,1000,0.99,100,1.0
1,1537,25.033493280410767,1000,0.99,100,1.0
2,1530,24.85558843612671,1000,0.99,100,1.0
0,1551,25.177581548690796,1000,0.99,100,5.0
1,1546,24.64334225654602,1000,0.99,100,5.0
2,1530,24.799065828323364,1000,0.99,100,5.0
0,1556,22.99640917778015,1000,0.99,300,0.1
1,1555,21.925333738327026,1000,0.99,300,0.1
2,1530,21.48564338684082,1000,0.99,300,0.1
0,1530,15.889198541641235,1000,0.99,300,1.0
1,1549,13.727818727493286,1000,0.99,300,1.0
2,1556,13.620906352996826,1000,0.99,300,1.0
0,1530,12.975072145462036,1000,0.99,300,5.0
1,1556,13.109819650650024,1000,0.99,300,5.0
2,1530,12.966133117675781,1000,0.99,300,5.0
0,1530,12.925860404968262,1000,0.99,500,0.1
1,1536,13.060235023498535,1000,0.99,500,0.1
2,1530,13.504490613937378,1000,0.99,500,0.1
0,1548,13.186203956604004,1000,0.99,500,1.0
1,1530,13.320509910583496,1000,0.99,500,1.0
2,1530,13.52576208114624,1000,0.99,500,1.0
